AtomicNumber,Name,AtomicWeight,Symbol,MeltingPoint,BoilingPoint,Density,Year_Discovered,IonizationEnergy,Table_Row,Table_Column,ChemicalSeries,AtomicRadius,NaturalState,ThermalConductivity,SpecificHeat,ElectronAffinity,NumberOfIsotopes,Classification,CrystalStructure,Discoverer,Cost,NaturalForming,PrimaryUse
1,Hydrogen,1.008,H,-259.14,-252.9,0.0000899,1766,13.5984,1,1,Nonmetal,0.30,gas,0.18150,14300.00,0.754195,6,non-metal,Hexagonal,Henry Cavendish,0.12,yes,rocket fuel
2,Helium,4.003,He,-272,-268.6,0.0001785,1895,24.5874,1,18,Noble gas,0.93,gas,0.15200,5193.00,,8,non-metal,Hexagonal,Sir William Ramsey,0.052,yes,blimps
3,Lithium,6.941,Li,180.54,180.0,0.5340000,1817,5.3917,2,1,Alkali metal,1.52,solid,84.80000,3560.00,0.618000,9,metal,Cubic body centered,Johann Arfvedson,0.27,yes,batteries
4,Beryllium,9.012,Be,1278,2970.0,1.8480000,1798,9.3227,2,2,Alkaline earth metal,1.11,solid,201.00000,1825.00,,9,metal,Hexagonal,Louis Nicolas Vauquelin,5.3,yes,watch springs
5,Boron,10.810,B,2300,2550.0,2.3400000,1808,8.2980,2,13,Metalloid,0.88,solid,0.27000,1030.00,0.277000,12,metalloid,Rhombohedral,Sir Humphry Davy & J.L. Gay-Lussac,2.5,yes,tennis rackets
6,Carbon,12.010,C,3500,4827.0,2.2500000,,11.2603,2,14,Nonmetal,0.77,solid,160.00000,712.00,1.262900,14,non-metal,Hexagonal,,0.024,yes,pencils
7,Nitrogen,14.010,N,-209.9,-196.0,0.0001250,1772,14.5341,2,15,Nonmetal,0.70,gas,0.02598,1040.00,,13,non-metal,Hexagonal,Daniel Rutherford,0.004,yes,rocket fuel
8,Oxygen,16.000,O,-218.4,-1.4,0.0014290,1774,13.6181,2,16,Nonmetal,0.66,gas,26.74000,917.40,1.461110,14,non-metal,Cubic,Joseph Priestly,0.003,yes,combustion
9,Fluorine,19.000,F,-219.62,-188.0,0.0016960,1886,17.4228,2,17,Halogen,0.64,gas,0.02790,824.00,3.401190,13,non-metal,Cubic,Joseph Henri Moissan,1.9,yes,toothpaste
10,Neon,20.180,Ne,-248.6,-249.0,0.0008999,1898,21.5645,2,18,Noble gas,1.12,gas,0.04930,1030.10,,16,non-metal,Cubic face centered,Sir William Ramsey,0.33,yes,lights
11,Sodium,22.990,Na,97.8,883.0,0.9680000,1807,5.1391,3,1,Alkali metal,1.86,solid,142.00000,1230.00,0.547926,16,metal,Cubic body centered,Sir Humphry Davy,0.07,yes,salt (NaCl)
12,Magnesium,24.310,Mg,638.8,1090.0,1.7400000,1755,7.6462,3,2,Alkaline earth metal,1.60,solid,156.00000,1020.00,,15,metal,Hexagonal,Joseph Black,0.037,yes,racing bikes
13,Aluminum,26.980,Al,660.37,2467.0,2.7000000,1825,5.9858,3,13,Poor metal,1.43,solid,237.00000,900.00,0.441000,13,metal,Cubic face centered,Hans Christian Oersted,0.018,yes,soda cans
14,Silicon,28.090,Si,1410,2355.0,2.3400000,1823,8.1517,3,14,Metalloid,1.17,solid,115.00000,703.00,1.385000,15,metalloid,Cubic face centered,Jons Berzelius,0.054,yes,micro chips
15,Phosporus,30.970,P,44.1,280.0,1.8200000,1669,10.4867,3,15,Nonmetal,1.10,solid,0.23600,769.70,0.746500,18,non-metal,Monoclinic,Hennig Brand,0.04,yes,matches
16,Sulfur,32.070,S,112.8,445.0,2.0700000,,10.3600,3,16,Nonmetal,1.04,solid,0.27000,706.00,2.077104,18,non-metal,Orthorhombic,,0.24,yes,fireworks
17,Chlorine,35.450,Cl,-100.98,-35.0,0.0032140,1774,12.9676,3,17,Halogen,0.99,gas,0.00890,478.20,3.612690,17,non-metal,Orthorhombic,Carl Wilhelm Scheele,0.0015,yes,water purification
18,Argon,39.950,Ar,-189.3,-186.0,0.0017840,1894,15.7596,3,18,Noble gas,1.54,gas,0.01772,520.32,,16,non-metal,Cubic face centered,Lord Dayleigh & Sir William Ramsey,0.005,yes,light bulbs
19,Potassium,39.100,K,63.65,774.0,0.8600000,1807,4.3407,4,1,Alkali metal,2.31,solid,102.50000,753.00,0.501470,13,metal,Cubic body centered,Sir Humphrey Davy,0.85,yes,fertilizer
20,Calcium,40.080,Ca,839,1484.0,1.5500000,1808,6.1132,4,2,Alkaline earth metal,1.97,solid,125.00000,653.00,0.043000,15,metal,Cubic face centered,Sir Humphery Davy,0.11,yes,cement and plaster of paris
21,Scandium,44.960,Sc,1539,2832.0,2.9900000,1879,6.5615,4,3,Transition metal,1.60,solid,15.80000,557.00,0.188000,11,metal,Hexagonal,Lars Nilson,14,yes,stadium lighting
22,Titanium,47.880,Ti,1660,3287.0,4.5000000,1791,6.8281,4,4,Transition metal,1.47,solid,21.90000,523.00,0.079000,11,metal,Hexagonal,William Gregor,0.061,yes,expensive tools
23,Vanadium,50.940,V,1690,3380.0,6.1000000,1830,6.7462,4,5,Transition metal,1.31,solid,30.70000,486.00,0.525000,9,metal,Cubic body centered,Nils Sefstrom,2.2,yes,tools
